Aircraft,From,From
A350,Sofia,1
A350,Sydney,1
A350,Tehran,1
A350,Tunis,1
A350,Washington,1
A350 /  A330-300,Barcelona,1
A350 /  Boeing 777,Barcelona,1
A350 / A321,Dubai,1
A350 / A321 / A380,London,1
A350 / A330,Abu Dhabi,1
A350 / A330,Adelaide,1
A350 / A330-200,Singapore,1
A350 / A340,Munich,1
A350 / A380,Adelaide,1
A350 / A380,Frankfurt,1
A350 / A380,Munich,1
A350 / B787-9,Singapore,1
A350 / Boeing 777,Milan,2
A350 / Boeing 777,Adelaide,1
A350 / Boeing 777,Chicago,1
A350 / Boeing 777,Frankfurt,1
A350 / Boeing 777,Montreal,1
A350 / Boeing 777,Singapore Changi Airport,1
A350 / Boeing 777,Vienna,1
A350 / Boeing 777-300,Helsinki Airport,1
A350 / Boeing 777-300,Munich,1
A350 / Boeing 777-300ER,Singapore Changi Airport,1
A350 / Boeing 7777,Zurich,1
A350 / Boeing 787,Singapore Changi Airport,2
A350 / Boeing 787,Adelaide,1
A350 / Boeing 787,Athens,1
A350 / Boeing 787,Frankfurt,1
A350 / Boeing 787,Hong Kong,1
A350 / Boeing 787,Maputo,1
A350 / Boeing 787,Melbourne,1
A350 / Boeing 787,Riyadh,1
A350 / Boeing 787,Washington,1
A350 / Boeing 787,Zurich,1
A350 / Boeing 787 / 777-300ER,Frankfurt,1
A350 / Boeing 787-9,Zurich,1
A350 / Boeing 789,Singapore,1
A350 900 / 1000,Adelaide,1
A350 XWB,Doha,1
A350 and Boeing 787,Dubai,1
A350-100 / A330 / Boeing 777-200,Dallas/Fort Worth,1
A350-1000,Doha,4
A350-1000,Singapore,3
A350-1000,Chicago,2
A350-1000,Dubai,2
A350-1000,Melbourne,2
A350-1000,Beirut,1
A350-1000,Cairo,1
A350-1000,Dallas/Fort Worth,1
A350-1000,Denpasar,1
A350-1000,Dhaka,1
A350-1000,Dublin,1
A350-1000,Kuwait,1
A350-1000,London Heathrow,1
A350-1000,New Delhi,1
A350-1000,San Francisco,1
A350-1000,Stockholm,1
A350-1000 / A350-900,Los Angeles,1
A350-1000 / Boeing 777-300ER,San Francisco,1
A350-1000 / Boeing 777-300ER,Stockholm,1
A350-900,Doha,9
A350-900,Boston,3
A350-900,Johannesburg,3
A350-900,John F. Kennedy,2
A350-900,Milan,2
A350-900,Paris,2
A350-900,Philadelphia,2
A350-900,Adelaide,1
A350-900,Copenhagen,1
A350-900,Dallas/Fort Worth,1
A350-900,Dhaka,1
A350-900,Dubai,1
A350-900,Heydar Aliyev International,1
A350-900,London,1
A350-900,London Heathrow,1
A350-900,McCarran International,1
A350-900,Miami,1
A350-900,Montreal,1
A350-900,Munich,1
A350-900,New York,1
A350-900,Singapore,1
A350-900,Vienna,1
A350-900 & Boeing 787-8 Dreamliner,Chengdu,1
A350-900 - Boeing 777-300 ER,Milan,1
A350-900 / A330,King Khalid International,1
A350-900 / A330-300,Bangkok,1
A350-900 / A350-1000,Kuala Lumpur,1
A350-900 / A350-1000,Singapore,1
A350-900 / A350-1000,Warsaw,1
A350-900 / A380,Brisbane,1
A350-900 / A380,Paris,1
A350-900 / Boeing 777-300,Zurich,1
A350-900 / Boeing 777-300ER,Nice,1
A350-900 / Boeing 787,Hong Kong,1
A350-900 / Boeing 787,Philadelphia,1
A350-900 / Boeing 787-8,Manchester,1
A350-900 / Boeing 787-8,Milan,1
A350-900 / Boing 777-300,Copenhagen,1
A350-900/1000,Oslo,1
A350-900/1000,Spain,1
A350-900Q,Riyadh,1
A350/Boeing 787,John F. Kennedy,1
A3500-900,Rome,1
A351 & Boeing 77W,London Heathrow,1
A359 / A320,Cape Town,1
A359 / A332,Stockholm,1
A359 / A380-800,Edinburgh,1
A380,Doha,21
A380,Bangkok,14
A380,London Heathrow,14
A380,Sydney,12
A380,London,11
A380,Melbourne,6
A380,Paris,4
A380,Perth,4
A380,Charles de Gaulle Airport,2
A380,Abu Dhabi,1
A380,Amman,1
A380,Ankara,1
A380,Bucharest,1
A380,Budapest Ferenc Liszt International,1
A380,Dublin,1
A380,Edinburgh,1
A380,Frankfurt,1
A380,Kuala Lumpur,1
A380,Leonardo da Vinci-Fiumicino Airport,1
A380,Sharjah,1
A380 & Boeing 777-300ER,Charles de Gaulle,1
A380 / 777-300ER / A350,London,1
A380 / A320,London Heathrow,2
A380 / A321 / A330,Melbourne,1
A380 / A330,London,2
A380 / A330,Sydney,1
A380 / A330 / A321,Bangkok,1
A380 / A330 / B777,Warsaw,1
A380 / A330-200,Bangkok,1
A380 / A330-300,Perth,1
A380 / A350,London Heathrow,2
A380 / A350,Perth,1
A380 / A350 / Boeing 777,London Heathrow,1
A380 / A350 / Boeing 777-300ER,Bangkok,1
A380 / A350 / Boeing 787,Melbourne,1
A380 / A350-900,Bangkok,1
A380 / Boeing 772,Bangkok,1
A380 / Boeing 777,Charles de Gaulle Airport,1
A380 / Boeing 777,London Heathrow,1
A380 / Boeing 777,Melbourne,1
A380 / Boeing 777,Munich,1
A380 / Boeing 777,Rome,1
A380 / Boeing 777,Singapore Changi Airport,1
A380 / Boeing 777,Sydney,1
A380 / Boeing 777 / 787,London Heathrow,1
A380 / Boeing 777 / 787-9,Sydney,1
A380 / Boeing 777 / A321,London,1
A380 / Boeing 777-300,London,1
A380 / Boeing 777-300,London Heathrow,1
A380 / Boeing 777-300ER,London,1
A380 / Boeing 787,Bangkok,4
A380 / Boeing 787,Hanoi,1
A380 / Boeing 787,London,1
A380 / Boeing 787,London Heathrow,1
A380 / Boeing 787,Perth,1
A380 / Boeing 787,Sydney,1
A380 / Boeing 787 / 777,Bangkok,1
A380 / Boeing 787-8,Bangkok,2
A380 / Boeing 789,Bangkok,1
A380 /787/A330,Sydney,1
A380 A350,Krabi,1
A380 QR905 9feb,Melbourne,1
A380 and 777,Paris,1
A380 and 777-300,Manchester,1
A380 and A330,London,1
A380 and A332,Bangkok,1
A380 and A350,Perth,1
A380 and B787,Oslo,1
A380 and Boeing 787,Bangkok,1
"A380, A320",Abu Dhabi,1
"A380, A320",Bangkok,1
"A380, Boeing 78, Boeing 777",Bangkok,1
A380-800,Doha,3
A380-800,Melbourne,3
A380-800,Bangkok,2
A380-800,Charles de Gaulle,1
A380-800,London,1
A380-800,London Heathrow,1
A380-800,Perth,1
A380-800 / A330,London Heathrow,1
A380-800 / A340-600,London,1
A380-800 / Boeing 777-300,London,1
A380/A350,Sydney,1
A380/B788,Bangkok,1
A380/Boeing 787-8,Bangkok,1
A388/A350/B788,London,1
Airbus 330-200 / Boeing 777-300,Budapest,1
Airbus 380,Doha,1
Airbus 380,Zvartnots,1
Airbus A380,London,1
Airbus A380,Melbourne,1
Airbus A380-800,Sydney,1
B777,Dallas,1
B777,Doha,1
B777-200; A380; B787,Noi Bai International,1
B777-300,Doha,1
B777-300 and A350-900,Johannesburg,1
B777-300ER,Doha,1
B777-300ER,Dulles,1
B777-300ER,Phuket,1
B777-300ER/A320,Denpasar,1
B787,O. R. Tambo International,1
B787,Singapore,1
"B787, A350",Brussels,1
"B787, A380, B770-300",Copenhagen,1
"B787, B77W",Zurich,1
B7oeing 77-200LR,Doha,1
Belong 787 / 777,Dublin,1
Beoing 787 / A330 / A380,Oslo,1
Boeing,Doha,1
Boeing  787 / A330,Soekarno-Hatta International,1
Boeing / 777-300ER / A330 / A350,Manchester,1
Boeing 700-333,Johannesburg,1
Boeing 737-8MAX,Doha,1
Boeing 738 max / B773 ER,Abu Dhabi,1
"Boeing 772LR, A332",Philadelphia,1
Boeing 773,Bangkok,1
Boeing 773 / A380,Frankfurt,1
Boeing 773-ER / 787-8 / A330-300,Frankfurt,1
Boeing 773ER,Berlin,1
Boeing 773ER / 738 Max,Bangkok,1
Boeing 773ER and A333,Kuala Lumpur,1
Boeing 777,Doha,27
Boeing 777,Bangkok,6
Boeing 777,Manchester,5
Boeing 777,London,4
Boeing 777,Chicago,3
Boeing 777,Hong Kong,3
Boeing 777,Kuala Lumpur,3
Boeing 777,Colombo,2
Boeing 777,Frankfurt,2
Boeing 777,Johannesburg,2
Boeing 777,John F. Kennedy International,2
Boeing 777,London Heathrow,2
Boeing 777,Los Angeles,2
Boeing 777,Manila,2
Boeing 777,Montreal,2
Boeing 777,Perth,2
Boeing 777,Riyadh,2
Boeing 777,Seattle,2
Boeing 777,Sydney,2
Boeing 777,Washington,2
Boeing 777,Adelaide,1
Boeing 777,Amsterdam,1
Boeing 777,Auckland,1
Boeing 777,Bali,1
Boeing 777,Bandaranaike International,1
Boeing 777,Beirut,1
Boeing 777,Brisbane,1
Boeing 777,Cape Town,1
Boeing 777,Chhatrapati Shivaji Maharaj International,1
Boeing 777,Cochin,1
Boeing 777,Dallas,1
Boeing 777,Dubai,1
Boeing 777,Istanbul,1
Boeing 777,Kempegowda International,1
Boeing 777,Male,1
Boeing 777,Melbourne,1
Boeing 777,Mumbai,1
Boeing 777,Munich,1
Boeing 777,New York,1
Boeing 777,Noi Bai International,1
Boeing 777,O. R. Tambo International,1
Boeing 777,Penang,1
Boeing 777,Shanghai Pudong International,1
Boeing 777,Tan Son Nhat International,1
Boeing 777,Tokyo,1
Boeing 777 / 787,Bangkok,1
Boeing 777 / 787,Dallas,1
Boeing 777 / 787,Dallas/Fort Worth International,1
Boeing 777 / 787,Hong Kong,1
Boeing 777 / 787,Johannesburg,1
Boeing 777 / 787,Madrid,1
Boeing 777 / 787,Narita International,1
Boeing 777 / 787,O'Hare International,1
Boeing 777 / 787,Perth,1
Boeing 777 / 787,Phuket,1
Boeing 777 / 787,Shanghai,1
Boeing 777 / 787 / A320,Madrid,1
Boeing 777 / 787 / A340,London Heathrow,1
Boeing 777 / 787 / A350,Bangkok,1
Boeing 777 / 787 / A380,Dallas/Fort Worth International,1
Boeing 777 / 787-9,Munich,1
Boeing 777 / 787/ A380,Sydney,1
Boeing 777 / A 350-900,Bangalore,1
Boeing 777 / A320,Cape Town,1
Boeing 777 / A330,London Gatwick,1
Boeing 777 / A330,London Heathrow,1
Boeing 777 / A330,Montreal,1
Boeing 777 / A330 / A380,London Heathrow,1
Boeing 777 / A350,Bangalore,1
Boeing 777 / A350,Hyderabad,1
Boeing 777 / A350,Kuwait,1
Boeing 777 / A350,London,1
Boeing 777 / A350,São Paulo/Guarulhos International,1
Boeing 777 / A350 / A330,Bangkok,1
Boeing 777 / A380,Frankfurt,2
Boeing 777 / A380,Amsterdam,1
Boeing 777 / A380,Hanoi,1
Boeing 777 / A380,King Abdulaziz International,1
Boeing 777 / A380,Narita International,1
Boeing 777 / A380,Perth,1
Boeing 777 / A380 / 350,Frankfurt,1
Boeing 777 / Boeing 787,Bangkok,1
Boeing 777 300ER,Amsterdam,1
Boeing 777 ER,Manila,1
Boeing 777 ER,Miami,1
Boeing 777 Suites,Canberra,1
Boeing 777 and A330,Manchester,1
