Aircraft,From,From
Boeing 787 / Boeing 777,Oslo,1
Boeing 787 / Boeing 777,Singapore,1
Boeing 787 / Boeing 777,Singapore Changi Airport,1
Boeing 787 and A330-200,London Heathrow,1
Boeing 787 and A350,Singapore,1
Boeing 787 and Boeing 777,Amsterdam,1
Boeing 787 then A380,London,1
"Boeing 787, A330/200",Hong Kong,1
"Boeing 787, A380",Manchester,1
"Boeing 787, Boeing 777",O. R. Tambo International,1
"Boeing 787, Boeing 777-300ER",Copenhagen,2
Boeing 787-8,Doha,8
Boeing 787-8,Stockholm,3
Boeing 787-8,Bangkok,2
Boeing 787-8,Copenhagen,2
Boeing 787-8,Edinburgh,2
Boeing 787-8,Jakarta,2
Boeing 787-8,Kigali,2
Boeing 787-8,Munich,2
Boeing 787-8,Vienna,2
Boeing 787-8,Barcelona,1
Boeing 787-8,Dubai,1
Boeing 787-8,Düsseldorf,1
Boeing 787-8,Hong Kong,1
Boeing 787-8,Johannesburg,1
Boeing 787-8,Kolkata,1
Boeing 787-8,London,1
Boeing 787-8,Manchester,1
Boeing 787-8,New Delhi,1
Boeing 787-8,Penang,1
Boeing 787-8,Zurich,1
Boeing 787-8 & A380,Jakarta,1
Boeing 787-8 /  A330,Copenhagen,1
Boeing 787-8 / 777-300,London Gatwick,1
Boeing 787-8 / 777-300ER,Copenhagen,1
Boeing 787-8 / 777-300ER,Kuala Lumpur,1
Boeing 787-8 / 777-300ER,Oslo,1
Boeing 787-8 / 777-300ER,Stockholm Arlanda,1
Boeing 787-8 / A321,Manchester,1
Boeing 787-8 / A330,Copenhagen,1
Boeing 787-8 / A330-300,O. R. Tambo International,1
Boeing 787-8 / A330-300,Prague,1
Boeing 787-8 / A350,Brussels,1
Boeing 787-8 / A350,Johannesburg,1
Boeing 787-8 / A359,Athens,1
Boeing 787-8 / A380,Copenhagen,1
Boeing 787-8 / A380-800,Birmingham,1
Boeing 787-8 / A380-900,Manchester,1
Boeing 787-8 / B777-300ER,Copenhagen,1
Boeing 787-8 / Boeing 777-300er,Ho Chi Minh City,1
Boeing 787-8 /777-300ER,Stockholm,1
Boeing 787-8 Dreamliner and A350-900,Stockholm Arlanda,1
Boeing 787-8 and Boeing 777-300ER,Brussels,1
Boeing 787-800,Doha,2
Boeing 787-800,Cape Town,1
Boeing 787-800,Copenhagen,1
Boeing 787-800/777-300,Kolkata,1
Boeing 787-9,Doha,4
Boeing 787-9,Bangkok,1
Boeing 787-9,Copenhagen,1
Boeing 787-9,Ho Chi Minh City,1
Boeing 787-9,Madrid,1
Boeing 787-9,Milan,1
Boeing 787-9,Nairobi,1
Boeing 787-9,Oslo,1
Boeing 787-9,Phuket,1
Boeing 787-9,Stockholm,1
Boeing 787-9 /  A350-1000,Copenhagen,1
Boeing 787-9 / A330-300,Düsseldorf,1
Boeing 787-9 / A350-9,Hanoi,1
Boeing 787-9 / A350-900,Singapore,1
Boeing 787-9 and Boeing 777 ER,Jakarta,1
Boeing 787-900,Hong Kong,1
Boeing 787-900,Madrid,1
Boeing 787/777,Copenhagen,1
Boeing 787/A359,Bangkok,1
Boeing 788 / A320 / Boeing 772,Tokyo,1
Boeing 788 / A359,Stockholm,1
Boeing 788 / A380,Warsaw,1
Boeing 788 / Boeing 773ER,Frankfurt,1
Boeing 789 / 773,Düsseldorf,1
Boeing 789 / A380,Munich,1
Boeing-777 / 787,Milan,1
Boeing777 / A319,Bangalore,1
Boieng 777-300ER,Belgrade,1
Old,Atlanta,1
QR-1303,Doha,1
QR0507,Thiruvananthapuram,1
QR713,Dar es Salaam,1
QR723,Doha,1
airbus,Barcelona,1
